Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter fasciculus	Acinetobacter	CF19	1	1	1	6	6	1	1	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter fasciculus	Acinetobacter	CF13	1	1	1	3	3	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF14	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF24	1	1	1	1	1	1	1	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF15_17	1	0	0	0	0	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF15_19	1	1	1	1	1	1	1	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF16	1	1	1	1	1	1	1	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF17_20	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter fasciculus	Acinetobacter	CF17_23	1	0	0	0	0	1	1	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter fasciculus	Acinetobacter	CF18	1	1	1	1	1	1	1	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter fasciculus	Acinetobacter	CF20	1	1	1	1	1	1	1	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter fasciculus	Acinetobacter	CF21	1	1	1	1	1	1	1	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter fasciculus	Acinetobacter	CF23	1	1	1	1	1	1	1	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter fasciculus	Acinetobacter	CF26	1	0	0	0	0	1	1	0	module18	Intercellular communication signal	Communication signal
