MAG	body_region	Microenvironments	taxonomy_status
1111525849858550_bin.30	Facial skin	sebaceous	not_annotated
1111525849858814_bin.5	Facial skin	sebaceous	not_annotated
1111525849858897_bin.10	Facial skin	sebaceous	not_annotated
1111525849859186_bin.10	Facial skin	sebaceous	not_annotated
1111525849859858_bin.33	Facial skin	sebaceous	not_annotated
1111525849860741_bin.5	Facial skin	sebaceous	not_annotated
1111525849860804_bin.6	Facial skin	sebaceous	not_annotated
1111525849860834_bin.1	Facial skin	sebaceous	not_annotated
1111525849860954_bin.41	Facial skin	sebaceous	not_annotated
1111525849861439_bin.10	Facial skin	sebaceous	not_annotated
1111525849861548_bin.1	Facial skin	sebaceous	not_annotated
1111525849862212_bin.5	Facial skin	sebaceous	not_annotated
1111525849862536_bin.14	Facial skin	sebaceous	not_annotated
1111525849863823_bin.20	Facial skin	sebaceous	not_annotated
1111525849863945_bin.32	Facial skin	sebaceous	not_annotated
DP1807004400_bin.12	Facial skin	sebaceous	not_annotated
DP1807004493_bin.4_new	Facial skin	sebaceous	not_annotated
DP1807004538_bin.3	Facial skin	sebaceous	not_annotated
DS1912041098-1_bin.7	Facial skin	sebaceous	not_annotated
DS1912042224-1_bin.12	Facial skin	sebaceous	not_annotated
DS1912042243-1_bin.5	Facial skin	sebaceous	not_annotated
DS1912044172-1_bin.8	Facial skin	sebaceous	not_annotated
DS1912044182-1_bin.5	Facial skin	sebaceous	not_annotated
DS1912044186-1_bin.1	Facial skin	sebaceous	not_annotated
DSKIN0024-1_bin.2	Facial skin	sebaceous	not_annotated
DSKIN0032-1_bin.15	Facial skin	sebaceous	not_annotated
DSKIN0033-1_bin.14	Facial skin	sebaceous	not_annotated
DSKIN0035-1_bin.7	Facial skin	sebaceous	not_annotated
DSKIN0040-1_bin.5	Facial skin	sebaceous	not_annotated
DSKIN0044-1_bin.1	Facial skin	sebaceous	not_annotated
DSKIN0050-1_bin.1	Facial skin	sebaceous	not_annotated
DSKIN0152-1_bin.13	Facial skin	sebaceous	not_annotated
DT2007043842-1_bin.3	Facial skin	sebaceous	not_annotated
DT2007043843-1_bin.4	Facial skin	sebaceous	not_annotated
DT2007043852-1_bin.6	Facial skin	sebaceous	not_annotated
DT2007043861-1_bin.2	Facial skin	sebaceous	not_annotated
DT2007043864-1_bin.3	Facial skin	sebaceous	not_annotated
DT2007045299-1_bin.2	Facial skin	sebaceous	not_annotated
DT2007045308-1_bin.3	Facial skin	sebaceous	not_annotated
DT2007045311-1_bin.4	Facial skin	sebaceous	not_annotated
MET0188_bin.2	Upper limb & hand skin	dry	not_annotated
MET0190_bin.11	Upper limb & hand skin	dry	not_annotated
MET0195_bin.9	Trunk skin	sebaceous	not_annotated
MET0197_bin.10	Scalp & auricular skin	sebaceous	not_annotated
MET0199_bin.4	Trunk skin	sebaceous	not_annotated
MET0202_bin.11	Facial skin	sebaceous	not_annotated
MET0203_bin.6	Facial skin	sebaceous	not_annotated
MET0206_bin.12_new	Upper limb & hand skin	moist	not_annotated
MET0207_bin.64	Upper limb & hand skin	dry	not_annotated
MET0208_bin.15	Upper limb & hand skin	moist	not_annotated
MET0237_bin.1	Facial skin	sebaceous	not_annotated
MET0240_bin.5	Upper limb & hand skin	moist	not_annotated
MET0241_bin.2	Upper limb & hand skin	dry	not_annotated
MET0243_bin.4	Upper limb & hand skin	dry	not_annotated
