phylum,CF_id,positive_species,total_species_in_phylum,percentage
CG2-30-53-67,CF16,2,13,15.384615384615385
CG2-30-53-67,CF21,2,13,15.384615384615385
CG2-30-53-67,CF24,6,13,46.15384615384615
CG2-30-70-394,CF12,3,12,25.0
CG2-30-70-394,CF13,3,12,25.0
CG2-30-70-394,CF14,3,12,25.0
CG2-30-70-394,CF15_17,3,12,25.0
CG2-30-70-394,CF16,3,12,25.0
CG2-30-70-394,CF24,3,12,25.0
CLD3,CF12,12,28,42.857142857142854
CLD3,CF13,12,28,42.857142857142854
CLD3,CF14,11,28,39.285714285714285
CLD3,CF16,1,28,3.571428571428571
CLD3,CF17_20,1,28,3.571428571428571
CLD3,CF18,8,28,28.57142857142857
CLD3,CF23,1,28,3.571428571428571
CLD3,CF24,9,28,32.142857142857146
CLD3,CF5,11,28,39.285714285714285
CLD3,CF9_9,11,28,39.285714285714285
CSSED10-310,CF12,9,10,90.0
CSSED10-310,CF13,9,10,90.0
CSSED10-310,CF14,5,10,50.0
CSSED10-310,CF16,1,10,10.0
CSSED10-310,CF18,3,10,30.0
CSSED10-310,CF21,2,10,20.0
CSSED10-310,CF24,7,10,70.0
CSSED10-310,CF2_10,1,10,10.0
CSSED10-310,CF2_4,2,10,20.0
CSSED10-310,CF5,7,10,70.0
CSSED10-310,CF6,4,10,40.0
CSSED10-310,CF9_9,3,10,30.0
Caldisericota,CF1,1,158,0.6329113924050633
Caldisericota,CF12,60,158,37.9746835443038
Caldisericota,CF13,58,158,36.708860759493675
Caldisericota,CF14,33,158,20.88607594936709
Caldisericota,CF15_17,57,158,36.075949367088604
Caldisericota,CF17_20,10,158,6.329113924050633
Caldisericota,CF18,1,158,0.6329113924050633
Caldisericota,CF21,3,158,1.89873417721519
Caldisericota,CF24,34,158,21.518987341772153
Caldisericota,CF2_10,9,158,5.69620253164557
Caldisericota,CF2_4,21,158,13.291139240506327
Caldisericota,CF5,42,158,26.582278481012654
Caldisericota,CF9_9,30,158,18.9873417721519
Calditrichota,CF1,3,71,4.225352112676056
